,Age,Inc_group,Gender,Dead to Dead,Dead to Good Health,Dead to Poor Health,Dead to NH,Dead to HHC,Good Health to Dead,Good Health to Good Health,Good Health to Poor Health,Good Health to NH,Good Health to HHC,Poor Health to Dead,Poor Health to Good Health,Poor Health to Poor Health,Poor Health to NH,Poor Health to HHC,NH to Dead,NH to Good Health,NH to Poor Health,NH to NH,NH to HHC,HHC to Dead,HHC to Good Health,HHC to Poor Health,HHC to NH,HHC to HHC,Good Health at t,Bad Health at t,NH at t,HHC at t
0,50,1,1.male,4,0,0,0,0,2,118,26,0,3,8,24,58,0,5,0,0,0,1,0,2,2,2,0,5,149,95,1,11
1,51,1,1.male,7,0,0,0,0,2,255,47,0,5,6,55,127,0,5,0,0,0,1,0,1,5,10,1,7,309,193,1,24
2,52,1,1.male,7,0,0,0,0,9,332,64,2,11,14,72,173,2,12,0,0,0,0,0,4,9,7,0,19,418,273,0,39
3,53,1,1.male,8,0,0,0,0,9,444,104,0,15,14,87,218,3,29,2,0,0,0,0,10,8,14,2,15,572,351,2,49
4,54,1,1.male,14,0,0,0,0,3,527,93,2,16,24,102,273,0,19,0,0,0,1,0,6,18,21,0,18,641,418,1,63
5,55,1,1.male,15,0,0,0,0,13,612,132,1,15,22,112,341,3,29,2,1,0,5,1,9,11,35,2,23,773,507,9,80
6,56,1,1.male,16,0,0,0,0,11,632,118,0,21,25,115,340,2,32,0,0,0,4,1,9,13,18,2,17,782,514,5,59
7,57,1,1.male,21,0,0,0,0,13,692,121,1,20,38,132,367,2,31,0,0,0,3,0,10,22,28,4,21,847,570,3,85
8,58,1,1.male,19,0,0,0,0,14,648,141,1,22,48,129,360,3,33,0,2,0,9,1,7,11,25,2,19,826,573,12,64
9,59,1,1.male,18,0,0,0,0,22,639,140,0,28,45,125,354,4,39,0,1,1,3,0,8,20,19,8,22,829,567,5,77
10,60,1,1.male,25,0,0,0,0,21,648,130,3,13,39,146,345,7,27,4,0,1,8,0,4,21,19,1,20,815,564,13,65
11,61,1,1.male,26,0,0,0,0,23,653,135,0,25,43,126,351,4,44,5,1,1,7,1,10,21,32,2,25,836,568,15,90
12,62,1,1.male,29,0,0,0,0,24,675,139,2,21,33,120,325,4,30,6,1,3,3,2,11,11,29,2,21,861,512,15,74
13,63,1,1.male,24,0,0,0,0,27,625,115,1,23,36,134,330,3,25,1,0,1,6,2,10,17,27,1,24,791,528,10,79
14,64,1,1.male,33,0,0,0,0,32,527,123,3,26,50,107,312,8,33,2,0,1,5,0,11,21,26,1,18,711,510,8,77
15,65,1,1.male,26,0,0,0,0,21,554,115,1,24,49,89,276,12,44,1,1,0,5,0,7,13,20,3,25,715,470,7,68
16,66,1,1.male,33,0,0,0,0,20,513,90,1,22,38,76,258,9,29,0,0,0,7,0,13,18,18,1,16,646,410,7,66
17,67,1,1.male,25,0,0,0,0,20,428,90,5,25,32,90,228,4,39,6,1,1,8,0,17,19,24,3,22,568,393,16,85
18,68,1,1.male,24,0,0,0,0,24,407,95,3,30,27,82,211,2,32,4,0,0,9,1,14,9,27,4,26,559,354,14,80
19,69,1,1.male,31,0,0,0,0,24,398,79,2,17,41,83,209,9,33,5,0,1,6,0,9,7,19,5,18,520,375,12,58
20,70,1,1.male,28,0,0,0,0,34,405,98,3,30,42,69,200,6,36,2,1,0,13,0,16,21,27,8,25,570,353,16,97
21,71,1,1.male,42,0,0,0,0,24,378,92,0,23,33,79,204,7,38,5,0,0,7,0,12,17,27,5,22,517,361,12,83
22,72,1,1.male,57,0,0,0,0,29,428,87,1,30,47,79,187,9,44,9,0,3,10,1,16,21,26,5,25,575,366,23,93
23,73,1,1.male,39,0,0,0,0,37,404,77,8,32,39,67,195,14,32,6,0,1,9,0,7,16,25,7,29,558,347,16,84
24,74,1,1.male,37,0,0,0,0,34,381,94,5,32,52,89,178,6,42,10,1,1,5,1,19,17,31,5,28,546,367,18,100
25,75,1,1.male,49,0,0,0,0,32,359,97,6,30,45,52,180,10,33,9,0,0,13,0,23,19,17,6,34,524,320,22,99
26,76,1,1.male,63,0,0,0,0,32,316,84,8,33,46,60,162,9,28,5,0,0,15,1,28,26,24,4,23,473,305,21,105
27,77,1,1.male,39,0,0,0,0,34,296,77,6,24,43,67,143,12,25,6,0,1,11,2,20,27,28,6,19,437,290,20,100
28,78,1,1.male,45,0,0,0,0,45,297,67,5,26,45,57,143,10,35,9,2,1,18,1,17,13,23,3,28,440,290,31,84
29,79,1,1.male,51,0,0,0,0,35,228,65,6,20,45,54,130,9,39,12,1,0,15,2,21,13,18,6,19,354,277,30,77
30,80,1,1.male,47,0,0,0,0,35,218,58,4,23,40,31,93,14,27,11,1,1,14,0,19,15,13,7,14,338,205,27,68
31,81,1,1.male,49,0,0,0,0,25,171,54,3,15,57,25,98,6,34,10,0,1,5,0,26,10,11,12,21,268,220,16,80
32,82,1,1.male,38,0,0,0,0,34,135,43,10,22,29,35,74,8,19,12,0,0,15,0,14,12,15,6,20,244,165,27,67
33,83,1,1.male,39,0,0,0,0,35,99,36,5,25,35,26,72,10,21,12,0,1,14,0,27,9,10,4,17,200,164,27,67
34,84,1,1.male,38,0,0,0,0,21,110,27,11,13,34,22,47,12,13,8,0,0,14,0,16,12,8,7,18,182,128,22,61
35,85,1,1.male,45,0,0,0,0,20,82,23,4,25,34,18,44,11,17,11,0,1,16,1,20,7,9,8,16,154,124,29,60
36,86,1,1.male,34,0,0,0,0,21,52,25,7,14,26,13,27,12,16,17,0,0,13,0,18,5,4,8,10,119,94,30,45
37,87,1,1.male,28,0,0,0,0,17,43,16,8,11,18,17,30,7,7,11,2,1,10,0,19,3,6,10,15,95,79,24,53
38,88,1,1.male,23,0,0,0,0,18,33,10,12,10,24,14,23,4,6,12,1,1,9,0,18,2,5,6,8,83,71,23,39
39,89,1,1.male,22,0,0,0,0,20,16,10,6,9,11,7,12,5,7,12,0,0,10,0,10,3,4,2,9,61,42,22,28
40,90,1,1.male,18,0,0,0,0,19,22,7,4,4,16,5,8,8,3,7,1,0,8,0,9,1,2,5,4,56,40,16,21
41,91,1,1.male,16,0,0,0,0,9,12,4,5,8,8,5,8,4,2,10,0,0,5,0,13,4,0,3,4,38,27,15,24
42,92,1,1.male,19,0,0,0,0,7,12,3,4,4,9,4,2,1,3,5,0,0,5,1,6,1,0,0,3,30,19,11,10
43,93,1,1.male,5,0,0,0,0,7,7,1,3,3,2,3,3,3,1,5,0,0,4,0,10,0,1,1,2,21,12,9,14
44,94,1,1.male,7,0,0,0,0,3,2,2,2,2,2,1,2,1,1,4,0,0,5,0,4,1,0,2,2,11,7,9,9
45,95,1,1.male,4,0,0,0,0,4,6,2,1,1,1,1,0,1,1,1,0,0,4,1,4,0,0,1,2,14,4,6,7
46,96,1,1.male,4,0,0,0,0,4,0,1,1,0,1,0,2,0,0,3,0,0,1,0,2,0,1,2,0,6,3,4,5
47,97,1,1.male,2,0,0,0,0,3,0,1,2,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,3,6,2,3,4
48,98,1,1.male,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,4,0
49,99,1,1.male,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,1,2
0,50,2,1.male,2,0,0,0,0,3,157,14,0,4,0,18,18,0,1,1,0,0,0,0,0,1,0,0,2,178,37,1,3
1,51,2,1.male,3,0,0,0,0,5,362,40,0,2,1,42,36,0,3,0,0,0,0,0,0,4,1,0,2,409,82,0,7
2,52,2,1.male,7,0,0,0,0,2,513,54,0,6,1,36,49,0,3,0,0,0,0,0,0,3,2,0,3,575,89,0,8
3,53,2,1.male,2,0,0,0,0,8,641,61,1,10,5,52,85,0,4,0,0,0,0,0,0,3,0,0,5,721,146,0,8
